state,key,svn,english,translation
CURRENT,keybinding_gamespeed3,2793,3x Speed,3倍速
CURRENT,keybinding_gamespeed4,2793,4x Speed,4倍速
CURRENT,keybinding_gamespeed5,2793,5x Speed,5倍速
CURRENT,keybinding_gamespeed6,2793,6x Speed,6倍速
CURRENT,keybinding_gamespeed7,2793,7x Speed,7倍速
CURRENT,keybinding_gamespeed8,2793,8x Speed,8倍速
CURRENT,keybinding_gamespeed9,2793,9x Speed,9倍速
CURRENT,keybinding_gamespeed0,2793,Half Speed,半減速
CURRENT,keybinding_rotateobject,2793,Rotate Object,オブジェクトを回転
CURRENT,keybinding_takescreenshot,2793,Screenshot (+ {MetaCtrl}),スクリーンショット (+ {MetaCtrl})
CURRENT,"keybinding_alttool,",2793,Eye-dropper,カラーピッカー
CURRENT,origin_shipofficial,2793,OFFICIAL SHIPS,公式艦船
CURRENT,origin_shipcommunity,2793,COMMUNITY SHIPS,コミュニティ艦船
CURRENT,origin_shipuser,2793,PLAYER-MADE SHIPS,プレイヤー製艦船
CURRENT,origin_shipsteam,2793,SUBSCRIBED SHIPS ON STEAM WORKSHOP,STEAMワークショップの艦船
CURRENT,origin_shipsteamuser,2793,SHIPS UPLOADED TO STEAM WORKSHOP,STEAMワークショップにアップロードされた艦船
CURRENT,shipeditor_mode_eyedropper,2793,Eyedropper,カラーピッカー
CURRENT,shipeditor_tooltip_eyedropper,2793,"Lets you select a paint from the exterior of your ship (can also be used by pressing the ""Shift"" key)",船体外側からペイントを選択できる（「Shift」キーを押すことで使用可能）
CURRENT,shipeditor_paint,2793,PAINT,ペイント
CURRENT,shipeditor_paint_paint,2793,Foreground Paint,前景ペイント
CURRENT,shipeditor_paint_erase,2793,Background Paint,背景ペイント
CURRENT,shipeditor_paint_name,2793,Paint Name,ペイント名
CURRENT,shipeditor_paint_standard,2793,Standard Paint,標準ペイント
CURRENT,shipeditor_paint_custom,2793,Custom Paint,カスタムペイント
CURRENT,shipeditor_paint_primary,2793,Base Primary,ベースプライマリー
CURRENT,shipeditor_paint_secondary,2793,Base Secondary,ベースセカンダリー
CURRENT,shipeditor_paint_detailprimary,2793,Detail Primary,ディテールプライマリー
CURRENT,shipeditor_paint_detailsecondary,2793,Detail Secondary,ディテールセカンダリー
CURRENT,shipeditor_paint_detailtertiary,2793,Detail Tertiary,ディテールターシャリー
CURRENT,shipeditor_palettelibrary_title_import,2793,IMPORT PALETTES,パレットをインポート
CURRENT,shipeditor_palettelibrary_title_export,2793,EXPORT PALETTES,パレットをエクスポート
CURRENT,shipeditor_palettelibrary_createname,2793,CREATE NEW PALETTE,新しいパレットを作成
CURRENT,shipeditor_palettelibrary_import,2793,IMPORT,インポート
CURRENT,shipeditor_palettelibrary_delete,2793,DELETE,削除
CURRENT,shipeditor_palettelibrary_confirm,2793,CONFIRM,確認
CURRENT,shipeditor_palettelibrary_cancel,2793,CANCEL,キャンセル
CURRENT,shipeditor_palettelibrary_export,2793,EXPORT,エクスポート
CURRENT,shipeditor_palettelibrary_upload,2793,UPLOAD,アップロード
CURRENT,trade_autotradedisabled,2793,DISABLED IN ORDER MENU,メニューで無効化
CURRENT,order_autotradeactive,2793,Auto Trade,自動取引
CURRENT,object_table,2793,Table,テーブル
CURRENT,object_smalltable,2793,Small Table,小型テーブル
CURRENT,object_chair,2793,Chair,椅子
CURRENT,object_sofa,2793,Sofa,ソファ
CURRENT,object_potplant,2793,Pot Plant,植木鉢
CURRENT,tutorial_battlestations_title,2793,BATTLE STATIONS,戦闘ステーション
CURRENT,tutorial_battlestationsstart,2793,We are now going to learn how to deploy our weapons for combat.\n\nThe game has been paused for now.,戦闘のために武器を配置する方法を学びます。\n\nゲームは現在一時停止中です。
CURRENT,tutorial_battlestationsactivate,2793,BATTLE STATIONS must be activated before your weapons can be used.\n\nThis will tell your crew to prepare for battle!,戦闘ステーションは武器を使用する前にアクティブ化する必要があります。\n\nこれにより、乗組員に戦闘の準備を指示します！
CURRENT,tutorial_battlestationshighlightcrew,2793,Your crew will run to the weapons to deploy them.\n\nGatling guns don't require any crew to deploy them.,乗組員は武器の配置のために武器の場所に移動します。\n\nガトリング砲は配置するために乗組員を必要としません。
CURRENT,tutorial_battlestationshighlightguns,2793,The gun barrels will begin to extend when they arrive.\n\nWhen the barrels are fully extended they will be ready to fire!,乗組員が到着すると、砲身が伸び始めます。\n\n砲身が完全に伸びると、発射する準備が整います！
CURRENT,tutorial_battlestationssuccess,2793,"Well done, your weapons are now successfully deployed for battle!",よくできました、あなたの武器は戦闘のために正常に配置されました！
CURRENT,tutorial_stargatejump_title,2793,STARGATE JUMPING,スターゲートジャンプ
CURRENT,tutorial_stargatejumpstart,2793,We are now going to learn how to jump using the newly powered-up Stargate.,新しくパワーアップされたスターゲートを使用してジャンプする方法を学びます。
CURRENT,tutorial_stargatejumpnopower,2793,"The Stargate currently has lost power and needs to be started again.\n\nUse energy transmitters to power the Stargate.\n\nWhen the Stargate is ready, we will try again!",スターゲートは現在電力を失っており、再び起動する必要があります。\n\nエネルギー送信機を使用してスターゲートを起動します。\n\nスターゲートが準備できたら、再試行します！
CURRENT,tutorial_stargatejumpintro,2793,The Stargate enables travel between different sectors.\n\nThe jump costs a single FTL charge and the Stargate will use more power while a jump is in progress.,スターゲートは、異なるセクター間の移動を可能にします。\n\nジャンプには1つのFTLチャージを消費し、ジャンプの進行中はスターゲートがより多くの電力を消費します。
CURRENT,tutorial_stargatejumpselectsystem,2793,Let's have a look at your ship in the Stargate system.\n\nStargate jumps can only be performed from the Stargate system.,スターゲートシステムにおけるあなたの宇宙船を確認しましょう。\n\nスターゲートジャンプは、スターゲートシステムからのみ実行できます。
CURRENT,tutorial_stargatejumpopenftl,2793,"First, let's open the FTL window.",まず、FTLウィンドウを開きましょう。
CURRENT,tutorial_stargatejumpabortjump,2793,We will need to abort the jump that's currently planned.,現在計画されているジャンプを中止する必要があります。
CURRENT,tutorial_stargatejumphighlightalign,2793,"When no jump is planned on the sector map, you can align your fleet for a Stargate jump.",セクターマップにジャンプが計画されていない場合、艦隊をスターゲートジャンプ用に調整できます。
CURRENT,tutorial_stargatejumphighlightaligning,2793,Great! The selected ships will now align for the jump.,素晴らしい！選択された宇宙船は、ジャンプ用に調整されます。
CURRENT,tutorial_stargatejumphighlightjump,2793,Your fleet is ready to jump to the new sector!\n\nYou can come back to this sector by performing another Stargate jump.,あなたの艦隊は新しいセクターへジャンプする準備ができました。\n\n別のスターゲートジャンプを実行することで、このセクターに戻ることができます。
CURRENT,tutorial_stargatejumpsuccess,2793,Well done. You can now jump between sectors!,よくできました。あなたは今、セクター間をジャンプすることができます！
CURRENT,dsi_part2_objective_sellreminder,2793,Sell your manufactured parts to submit them to the Stargate project,製造した部品を売却し、セントargate計画に提出してください。
CURRENT,trade_autotradecancelled,2793,LAST ORDER CANCELLED,最終注文はキャンセルされました。
CURRENT,special_stargatepart3,2793,"Andromeda Project Phases 4, 5",アンドロメダ計画フェーズ4、5
CURRENT,tutorial_powerreactoractive,2793,The REACTOR is activated! We are now generating power for our ship.,リアクターが起動した！我々は今、船の動力源を生成している。
CURRENT,dsi_part2_objective_installengines,2793,OPTIONAL: Install engines in the A.J.E Foundry,任意：A.J.E 創設場でエンジンをインストールする
CURRENT,origin_official,2793,OFFICIAL,公式
CURRENT,origin_community,2793,COMMUNITY,コミュニティ
CURRENT,origin_user,2793,PLAYER-MADE,プレイヤー製
CURRENT,origin_steam,2793,SUBSCRIBED ON STEAM WORKSHOP,Steamワークショップ購読
CURRENT,origin_steamuser,2793,UPLOADED TO STEAM WORKSHOP,Steamワークショップアップロード済
CURRENT,settings_exitsaves_tooltip,2675,"When enabled, the current game will be saved when abandoned or when the game is quit in a file called exitsave.\n\nCAUTION: This file will be overwritten on every exit.",有効にすると、ゲームを離脱した場合や、ゲームを終了した場合に、exitsave.\n\nというファイルに現在のゲームが保存されます。注意：このファイルは、毎回終了時に上書きされます。
CURRENT,settings_dynamiclighting,2675,Use Dynamic Lighting,ダイナミックライティングを使用します。
CURRENT,newmainmenu_exitsaves,2675,Exit-saves,セーブ終了
CURRENT,hud_ftlshipnotviablewarning,2675,Ship needs either hull or scaffolding to be brought into hyperspace,船は、ハイパースペースへ移行するために、船体か足場が必要である。
CURRENT,trade_cancelautotrade,2675,CANCEL AUTO-TRADE,自動取引 キャンセル
CURRENT,hud_collector_tooltip_totalgathered,2675,TOTAL GATHERED,合計収集
CURRENT,save_cloudsavefailed_header,2639,WARNING: Cloud Save Failed,警告：クラウドセーブに失敗しました
CURRENT,save_cloudsavefailed_body,2639,"The game failed to save to the cloud, the game has been saved locally instead.\n\nPlease check that you have enough storage in the Steam Cloud and try again.",ゲームはクラウドに保存できませんでした。代わりにローカルに保存されました\n\nSteamクラウドのストレージ容量が十分にあるか確認して、再度お試しください。
CURRENT,mission_type_sectorjumpgate,2639,Jumpgate (Sector),ジャンピングゲート（セクター）
CURRENT,stargate_newsystems_harken_2,2639,"Unfortunately it seems pirates have gotten to them first, and have set up their own shipyards around the Neubidium deposits in the system.",残念ながら、海賊たちが先に気づき、システム内のノイビジウム鉱床の周囲に独自の造船所を建設したようです。
CURRENT,settings_arraytextures,2624,Use Array Textures,配列テクスチャを使用する
CURRENT,newmainmenu_arena_shipquantity,2624,Quantity,量
CURRENT,newmainmenu_arena_combatratings,2624,COMBAT RATINGS,戦闘評価
CURRENT,newmainmenu_arena_tradevalues,2624,SHIP VALUES,艦船値
CURRENT,newmainmenu_arena_expandstats,2624,SHOW INFO,情報表示
CURRENT,newmainmenu_arena_collapsestats,2624,HIDE INFO,情報非表示
CURRENT,newmainmenu_arena_generateenemyfleet,2624,GENERATE,生成
CURRENT,newmainmenu_savetosteamcloud,2624,SAVE TO STEAM CLOUD,STEAMクラウドに保存
CURRENT,newmainmenu_steamcloud,2624,STEAM CLOUD,STEAMクラウド
CURRENT,newmainmenu_cloudquotaremaining,2624,Used: *X / *Y (*Z% remaining),使用済み: *X / *Y (*Z% 残り)
CURRENT,newmainmenu_tooltip_changeship,2624,[LMB] Change ship,[左クリック] 艦船を変更
CURRENT,newmainmenu_tooltip_removeship,2624,[RMB] Remove ship,[右クリック] 艦船を削除
CURRENT,hud_jumpthroughstargate,2624,JUMP THROUGH STARGATE,スターゲートをジャンプする
CURRENT,hud_jumpgatedistance,2624,ALL SHIPS MUST ENTER JUMPGATE,全ての艦艇はジャンプゲートへ侵入しなければならない
CURRENT,hud_jumpgatedamage,2624,JUMPGATE OFFLINE DUE TO DAMAGE,損傷によりジャンプゲートがオフライン
CURRENT,hud_jumpgaterequires,2624,JUMPGATE UNAVAILABLE,ジャンプゲートは利用不可
CURRENT,hud_collector_tooltip_gathering,2624,Gathering *X *Y per second,*X *Y を毎秒収集中
CURRENT,galaxymap_fortress,2624,FORTRESS,要塞
CURRENT,galaxymap_jumpgate,2624,JUMPGATE,ジャンプゲート
CURRENT,powergrid_category_stargate,2624,STARGATE,スターゲート
CURRENT,techtree_refining,2624,Refining,洗練
CURRENT,techtree_collection,2624,Collection,コレクション
CURRENT,techtree_smelting,2624,Smelting,精錬
CURRENT,techtree_node_title_zeleongasrefining,2624,Zeleon Gas,ゼレオンガス
CURRENT,techtree_node_caption_zeleongasrefining,2624,"The new gas we've observed seems to be quite unstable and is radiating high amounts of energy, our scientists need to find a safe way to collect and stabilise it.",我々が観測した新しいガスは非常に不安定であり、大量のエネルギーを放射している。科学者たちは、安全に収集し安定させる方法を見つける必要がある。
CURRENT,techtree_node_title_zeleonenergycontainment,2624,Zeleon Energy Containment,ゼレオンエネルギー封じ込め
CURRENT,techtree_node_caption_zeleonenergycontainment,2624,"Stable Zeleon is a safe, energy-dense gas that could be used for advanced energy storage.",安定したゼレオンは、先進的なエネルギー貯蔵に利用できる安全で高エネルギー密度のガスである。
CURRENT,techtree_node_title_neubidiumprocessing,2624,Neubidium Processing,ノイビジウム処理
CURRENT,techtree_node_caption_neubidiumprocessing,2624,"The mineral collected from the local asteroid has never been seen before, we should investigate its uses.",当地のアステロイドから回収された鉱物は前例がなく、その用途を調査すべきである。
CURRENT,techtree_node_title_neubidiumfabrication,2624,Neubidium Fabrication,ノイビジウム製造
CURRENT,techtree_node_caption_neubidiumfabrication,2624,"Infuse energy storage with Neubidium, providing it with enhanced efficiency and improved conductive properties.",エネルギー貯蔵にノイビジウムを注入し、効率を向上させ、導電性を改善する。
CURRENT,techtree_available_title,2624,RESEARCH AVAILABLE,研究利用可能
CURRENT,mission_sectorjumpgate_title,2624,SECTOR OBJECTIVE: Activate the Jumpgate,セクター目標：ジャンプゲートを起動する
CURRENT,mission_sectorjumpgate_description1,2624,The Jumpgate at the end of this sector has some requirements before it can be used.,このセクターの最後に位置するジャンプゲートは、使用前にいくつかの要件を満たす必要があります。
CURRENT,mission_sectorjumpgate_damage,2624,"The Jumpgate is damaged, and must be repaired and re-aligned.",ジャンプゲートは損傷しており、修理と再調整が必要です。
CURRENT,mission_sectorjumpgate_toll,2624,There is a TRANSIT FEE to pay for use of the Jumpgate. This money covers the operating costs and energy consumption of such a massive facility.,ジャンプゲートの使用にはTRANSIT FEEが必要です。この費用は、巨大な施設であるこの施設の運営費用とエネルギー消費をカバーします。
CURRENT,mission_sectorjumpgate_map,2624,Activate the Jumpgate,ジャンプゲートを起動する
CURRENT,mission_sectorjumpgate_paythetoll,2624,Pay the transit fee (*X),TRANSIT FEE (*X) を支払う
CURRENT,mission_sectorjumpgate_repair,2624,Repair the jumpgate,ジャンプゲートを修理する
CURRENT,mission_sectorjumpgate_materials,2624,We need some maintainence supplies before the jumpgate can be used.,ジャンプゲートが使用可能になる前に、メンテナンス用品が必要です。
CURRENT,mission_sectorjumpgate_materialsrequired,2624,We require *X R*Y,*X R*Yが必要です。
CURRENT,mission_sectorjumpgate_materialprovided,2624,Provided *X/*Y R*Z,*X/*Y R*Zを提供しました。
CURRENT,mission_sectorjumpgate_tollpaid,2624,"Thank you, payment received for transit.",ありがとうございます。TRANSITの支払いを受け取りました。
CURRENT,mission_sectorjumpgate_repaired,2624,"Thank you, the Jumpgate has been repaired and re-aligned.",ありがとうございます。ジャンプゲートは修理され、再調整されました。
CURRENT,mission_sectorjumpgate_ready,2624,The Jumpgate is now ready for use.,ジャンプゲートは現在、使用可能です。
CURRENT,mission_sectorjumpgate_ready2,2624,Please maneuver all fleet ships into the jumpgate and align for transit.,すべての艦隊艦艇をジャンプゲートに配置し、TRANSITのために整列してください。
CURRENT,mission_sectorjumpgate_provide,2624,Provide Materials,材料を提供する
CURRENT,mission_sectorjumpgate_hostiles,2624,Eradicate hostile blockade,敵の封鎖を殲滅する
CURRENT,mission_sectorjumpgate_hostiles2,2624,A fleet of hostile ships is attempting to blockade the jumpgate and extort money from ships passing through.,敵艦隊がジャンプゲートを封鎖し、通過する船から金銭を要求しようとしています。
CURRENT,mission_sectorjumpgate_hostiles3,2624,You'll need to clear them out before we can safely activate the jumpgate.,ジャンプゲートを安全に起動する前に、それらを排除する必要があります。
CURRENT,object_energytransmitter_description,2624,"A large piece of equipment, capable of transmitting up to 200MW to the Stargate.",最大200MWまでをセントラグレートへ送信できる大型の装置。
CURRENT,object_neubidiumore,2624,Neubidium Ore,ノウビジウム鉱石
CURRENT,object_neubidiumingot,2624,Neubidium Ingot,ノウビジウムインゴット
CURRENT,object_zeleongas,2624,Zeleon Gas,ゼレオンガス
CURRENT,object_stablezeleon,2624,Stable Zeleon,安定したゼレオン
CURRENT,object_stargatecapacitor,2624,Stargate Capacitor,セントラグレートコンデンサ
CURRENT,object_shieldedzeleoncanister,2624,Shielded Zeleon,シールドされたゼレオン
CURRENT,object_shieldedcanistercomponent,2624,Shielded Canister,シールドされた容器
CURRENT,object_energycellframecomponent,2624,Energy Cell Frame,エネルギーセルフレーム
CURRENT,object_zeleonenergycell,2624,Zeleon Energy Cell,ゼレオンエネルギーセル
CURRENT,object_neubidiumcapacitor,2624,Neubidium Capacitor,ノウビジウムコンデンサ
CURRENT,alert_type_stargatelosingpower,2624,STARGATE LOSING POWER,スターゲートが電力不足
CURRENT,alert_type_stargatelosingpower_caption,2624,*X MW / *Y MW Supplied,*X MW / *Y MW 供給中
CURRENT,alert_type_stargatelosingpower_tooltip,2624,The stargate isn't being supplied with enough power. Use energy transmitters to supply the Stargate with power.,スターゲートは十分な電力が供給されていません。エネルギー送信機を使用して、スターゲートに電力を供給してください。
CURRENT,stargate_power_fraction,2624,SUPPLIED:\n*X MW / *Y MW,供給量：\n*MW / *Y MW
CURRENT,stargate_power_button,2624,START,開始
CURRENT,stargate_powered_off,2624,POWERED OFF,電源オフ
CURRENT,stargate_warming_up,2624,WARMING UP,ウォーミングアップ中
CURRENT,stargate_powering_on,2624,STARTING UP,起動中
CURRENT,stargate_power_on_failed,2624,FAILED,失敗した
CURRENT,stargate_ready_for_jump,2624,READY FOR JUMP,ジャンプ準備完了
CURRENT,stargate_jumping,2624,JUMP IN PROGRESS,ジャンプ中
CURRENT,stargate_available_subtitle,2624,Phase *X Available,フェーズ *X 利用可能
CURRENT,stargatesectorwarning_harken_1,2624,"Captain, this sector has never been visited before and it is outside of my security jurisdiction.",船長、このセクターはかつて訪問されたことがなく、私のセキュリティ管轄権の外にあります。
CURRENT,stargatesectorwarning_harken_2,2624,"We have a full scan underway for the sector, once it's completed more locations will be marked on your map. In the systems surveyed so far we've found new resources, which may be just a glimpse into what this sector has to offer.",私たちはセクター全体の完全なスキャンを実行中です。完了すると、さらに多くの場所があなたのマップにマークされます。これまでに調査したシステムでは新しい資源を発見しました。これは、このセクターが提供するもののほんの始まりかもしれません。
CURRENT,stargatesectorwarning_harken_3,2624,"Unfortunately, that means pirates will probably find their way here soon, but it seems clear for now.",残念ながら、それは海賊がすぐにここを訪れるようになることを意味します。しかし、今のところは状況は好ましいようです。
CURRENT,stargatesectorwarning_harken_4,2624,Severe weather has also been detected nearby.,近くで激しい気象現象も検出されました。
CURRENT,stargatesectorwarning_harken_5,2624,"Who knows what you may find out here. Be careful, Captain.",ここにあるものが見つかるかわかりません。気を付けてください、船長。
CURRENT,stargate_newsystems_harken_1,2624,"Captain, our sector scan has found new systems in the sector.",船長、当方のセクタースキャンでセクター内に新たなシステムを発見しました。
CURRENT,stargate_newsystems_harken_3,2624,"Be prepared for combat if you're going to visit. Good luck, Captain.",訪問する際は戦闘の準備をしてください。幸運を祈ります、船長。
CURRENT,mission_sectorprotect_offer1,2624,"Thank you, Captain! We would never have survived without your assistance.",ありがとうございます、船長！あなたの助けがなければ、私たちは生き残れなかったでしょう。
CURRENT,mission_sectorprotect_offer2,2624,"If you'd be interested, we'd be honoured to join forces with your fleet.",もし興味があれば、私たちはあなたの艦隊と力を合わせることを光栄に思います。
CURRENT,mission_sectorprotect_description1,2624,Investigate a distress call in system S*X.,システムS*Xで緊急信号を調査してください。
CURRENT,mission_sectorprotect_offer3,2624,"Choose your reward, Captain",報酬を選んでください、船長。
CURRENT,calltoarms_harkenrailroad_2,2624,"There is a crisis underway, Captain.  Commercial vessels are going missing, all across the sector.  I suspect foul play, and I need your help to investigate.",船長、現在危機が起きています。セクター全体で、民間船が消失しています。私は悪意によるものと疑っており、調査を手伝ってほしい。
CURRENT,calltoarms_harkenrailroad_6,2624,"I've marked the location of the shipwreck on your map as a Gold Highlight.  Good luck, Captain.",沈没船の位置をあなたのマップ上にゴールドハイライトで示しました。幸運を祈ります、船長。
CURRENT,mainmenu_gamemode_survival_locked,2624,Complete any story episode in 'Boldly Go' to unlock,『大胆に進め』のストーリーエピソードを全て完了するとアンロックされます。
CURRENT,save_stargateresetwarning_body,2624,"Due to new phases or storylines surrounding the stargate, your stargate progress has been reset.",星の門に関する新しいフェーズまたはストーリーラインにより、星の門の進捗状況がリセットされました。
CURRENT,techtree_node_caption_stargatepart3,2624,Unlocks Phases 4 and 5 of the Andromeda Project.,アンドロメダ計画のフェーズ4と5をアンロックする。
CURRENT,mission_combat_location,2624,The hostile ships are located at system S*X.,敵対勢力の艦隊はS*Xシステムに位置している。
CURRENT,stargate_testfire_help,2624,"Captain, the Stargate is ready for its first test. If supplied with enough power it should provide us access to a nearby uncharted sector.",船長、スターゲートは最初のテストの準備ができています。十分な電力が供給されれば、近くの未開拓セクターへのアクセスを提供してくれるはずです。
CURRENT,tutorial_stargatescreen1,2624,Let's turn our attention to the STARGATE PROJECT.\n\nWe can view our progress from the Stargate screen.\n\nOpen the STARGATE screen.,我々は\STAGATE PROJECTに注目しましょう。\n\n我々はスタargate画面から進捗状況を確認できます。\n\nスタargate画面を開く。
CURRENT,tutorial_smelterssalvage,2624,Click on the nearby RUINED EQUIPMENT to instruct your crew to dismantle it into SCRAP METAL.,近くのRUINED EQUIPMENTをクリックして、乗組員にそれをスクラップ金属に分解するように指示してください。
CURRENT,tutorial_fleettrade,2624,The ship is fitted with engines and an FTL drive for Interstellar Travel! But it does need a crew.\n\nOpen the TRADE screen.,船は星間移動のためのエンジンとFTLドライブを装備している！しかし、乗組員が必要だ。\n\nTRADE画面を開く。
CURRENT,tutorial_wrapup3,2624,"Many different types of contract are now available to you.\n\nHowever, you must stay alert, Captain. There are reports of even more lucrative opportunities that you'll have to find by yourself.",現在、様々な種類の契約が利用可能になっている。\n\nしかし、警戒を怠らないように、船長。より収益性の高い機会に関する報告があり、ご自身で見つける必要があります。
CURRENT,tutorial_miningsuccess,2624,"Well done, you have produced Tilium Cystals.",よくできました、あなたはチリウムクリスタルを生成しました。
CURRENT,wolf_part1_sendingwreckage,2624,"They're sending the recovered wreckage to your ship The L*X now, Captain. It will arrive soon by Shuttle. You'll need to store it somewhere onboard.",彼らは回収された残骸をあなたの船、L*Xへ送っている、船長。まもなくシャトルで到着するだろう。船内にどこかに保管する必要がある。
CURRENT,wolf_part1_sendingshuttle,2624,"Standby while I dock my ship with yours, Captain, to collect the items you've recovered so far. Thank you for your efforts.",船長、これまでの回収アイテムを受け取るために、私の船をあなたの船とドッキングさせますのでお待ちください。ご尽力ありがとうございます。
CURRENT,wolf_part1_completion5,2624,"We need to find a way to track them down, and destroy them.  We will be in touch soon, Captain.",彼らを追跡し、破壊する方法を見つける必要がある。まもなく連絡する、船長。
CURRENT,wolf_part2_setup1,2624,"Thank you for coming, Captain.",ご来場ありがとうございます、船長。
CURRENT,wolf_part2_inperson_distress6,2624,"The Reactor is reaching critical levels, Captain.  I can't stop it from overloading.",リアクターはクリティカルレベルに達している、船長。オーバーロードするのを止められない。
CURRENT,wolf_part2_dropoff1,2624,"Well done, Captain.  Your intervention prevented a further loss of life.  And now we know the pirate vessel is crewed by cowards, a fact that we intend to use to our advantage.",よくやった、船長。あなたの介入により、さらなる人命の損失を防ぐことができた。そして今、私たちは海賊船が臆病者の乗組員によって乗組されていることを知っており、それを私たちの利点に使うつもりだ。
CURRENT,wolf_part2_debrief1,2624,"I appreciate your speed in rescuing the crew of the Orion Sentinel, Captain.",オリオン・センチネルの乗組員を救出する迅速な対応に感謝する、船長。
CURRENT,wolf_part2_debrief4,2624,"Thank you, Captain.  Protect your fleet, and wait for our call.",ありがとうございます、船長。艦隊を守り、私たちの呼び出しを待ってください。
CURRENT,blackhole_part1_intro2,2624,For years now my brother and I have been studying the high energy particle emissions in orbit of the black hole you can see behind us.  Its official designation is Qz247 - the collapsed remnants of a star that lived a couple of billion years ago.,何年も前から、兄と私は我々が背後に見えるブラックホールの軌道における高エネルギー粒子放射を研究してきました。その正式名称はQz247で、数億年前に存在した星の崩壊残骸です。
CURRENT,blackhole_part1_setup2,2624,"Thank you for offering your services, Captain.",ご尽力ありがとうございます、キャプテン。
CURRENT,blackhole_part1_sendingshuttle,2624,"I'm sending a shuttle to you now, Captain. Get your crew to load the Hyperspace Isotopes for me.",シャトルを送信します、キャプテン。クルーに超空間同位体を私に積み込んでもらってください。
CURRENT,blackhole_part1_completion1,2624,"Thank you, Captain. I now have what I need to modify this FTL drive for the Short Range Hop.",ありがとうございます、キャプテン。これで短距離ホップのための超光速ドライブを改造するために必要なものが揃いました。
CURRENT,blackhole_part2_return1,2624,It looks like you have enough Tilium Crystals.  Bring the Tilium Crystals back to me to close the contract.,ティリウム結晶が十分に揃ったようですね。契約を完了させるために、それらを私に持ってきてください。
CURRENT,blackhole_part2_return2,2624,"I'll send the shuttle to collect the Tilium Crystals. Thank you, Captain!",シャトルを派遣してティリウム結晶を回収します。ありがとうございます、キャプテン！
CURRENT,blackhole_part2_finished1,2624,"Excellent work, Captain.  I'll begin synthesising the FTL charges immediately.  It will take me a little while.",素晴らしい仕事ですね、キャプテン。直ちに超光速チャージの合成に取り掛かります。少し時間がかかります。
CURRENT,blackhole_part2_stargate0,2624,"Greetings, Captain.  I'm a representative of the Stargate Project.",ごきげんよう、キャプテン。私はStargateプロジェクトの代表です。
